ID,Deputados,Órgãos,Votações
10108,"73532, 73669, 73789, 73888, 73896, 74192, 74199, 74233, 74404, 74826",180,Nenhuma votação
10109,"73532, 73669, 73789, 73888, 73896, 74064, 74192, 74233, 74404, 74646, 74826",180,Nenhuma votação
10110,"73532, 73669, 73789, 73888, 73896, 74064, 74192, 74233, 74404, 74826",180,Nenhuma votação
10111,"73532, 73669, 73789, 73888, 73896, 74064, 74192, 74233, 74404, 74646, 74826",180,Nenhuma votação
10112,"73532, 73669, 73789, 73888, 73896, 74064, 74192, 74233, 74404, 74646, 74826",180,Nenhuma votação
10113,"73532, 73669, 73888, 73896, 74192, 74199, 74233, 74826",180,Nenhuma votação
10114,Nenhum deputado,180,Nenhuma votação
10115,Nenhum deputado,180,Nenhuma votação
10116,"73532, 73669, 73789, 73888, 73896, 74064, 74192, 74199, 74233, 74404, 74646, 74826",180,Nenhuma votação
10117,"73532, 73669, 73789, 73888, 73896, 74064, 74192, 74199, 74233, 74404, 74646, 74826",180,Nenhuma votação
10118,"73532, 73669, 73789, 73888, 73896, 74064, 74192, 74199, 74233, 74404, 74646, 74826",180,Nenhuma votação
10119,"73532, 73669, 73789, 73888, 73896, 74064, 74192, 74233, 74404, 74646, 74826",180,Nenhuma votação
10120,"73532, 73669, 73789, 73888, 73896, 74064, 74192, 74233, 74404, 74646, 74826",180,Nenhuma votação
10121,Nenhum deputado,180,Nenhuma votação
10122,"73532, 73669, 73789, 73888, 73896, 74064, 74192, 74199, 74233, 74404, 74646, 74826",180,Nenhuma votação
10123,"73532, 73669, 73789, 73888, 73896, 74064, 74192, 74199, 74233, 74404, 74646, 74826",180,Nenhuma votação
10124,"73669, 73896, 74064, 74192, 74199, 74404, 74646, 74826",180,Nenhuma votação
10125,"73669, 73789, 73888, 73896, 74192, 74199, 74233, 74826",180,Nenhuma votação
10126,"73475, 73487, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10127,"73475, 73487, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10128,"73487, 73532, 73888, 73896, 74192",180,Nenhuma votação
10129,"73475, 73487, 73532, 73888, 73896, 74192, 74646",180,Nenhuma votação
10130,"73475, 73487, 73532, 73888, 73896, 74192",180,Nenhuma votação
10131,"73475, 73487, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10132,"73475, 73487, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10133,"73475, 73487, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10134,"73475, 73487, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10135,"73475, 73487, 73532, 73888, 73896, 74192, 74199",180,Nenhuma votação
10136,"73475, 73487, 73532, 73888, 73896, 74192",180,Nenhuma votação
10137,"73475, 73487, 73532, 73888, 73896, 74192, 74646",180,Nenhuma votação
10138,"73475, 73487, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10139,"73475, 73487, 73532, 73888, 74192, 74199",180,Nenhuma votação
10140,"73475, 73487, 73532, 73888, 74192, 74646",180,Nenhuma votação
10141,"73475, 73532",180,Nenhuma votação
10142,"73475, 73532, 74192",180,Nenhuma votação
10143,"73487, 73532, 73888, 73896, 74192, 74199",180,Nenhuma votação
10144,"73487, 73532, 73888, 73896, 74192",180,Nenhuma votação
10145,"73475, 73487, 73532, 73888, 73896, 74199, 74646",180,Nenhuma votação
10146,"73475, 73487, 73532, 73888, 73896, 74646",180,Nenhuma votação
10147,"73475, 73532, 73888, 74646",180,Nenhuma votação
10148,"73475, 73487, 73532, 73888, 73896",180,Nenhuma votação
10149,"73475, 73487, 73532, 73888, 73896, 74646",180,Nenhuma votação
10150,"73475, 73487, 73532, 73888, 73896, 74646",180,Nenhuma votação
10151,"73475, 73487, 73532, 73888, 73896, 74199",180,Nenhuma votação
10152,"73475, 73487, 73532, 73888, 73896, 74646",180,Nenhuma votação
1106,"73435, 73535, 74000, 74240, 74462, 74585, 74779, 74807",5293,Nenhuma votação
10153,"73475, 73487, 73888, 73896, 74199, 74646",180,Nenhuma votação
10154,"73475, 73487, 73532, 73888, 73896, 74199",180,Nenhuma votação
10155,"73475, 73487, 73532, 73888, 73896",180,Nenhuma votação
