ID do Partido,Nome,Sigla,Data de Criação,Membros,Líderes
36898,Avante,AVANTE,N/A,"Waldemar Oliveira, Luis Tibé, Greyce Elias, André Janones, Pastor Sargento Isidório, Bruno Farias, Delegada Ione","Luis Tibé, Luis Tibé"
37905,Cidadania,CIDADANIA,N/A,"Arnaldo Jardim, Carmen Zanotto, Alex Manente, Any Ortiz, Amom Mandel",Alex Manente
36899,Movimento Democrático Brasileiro,MDB,N/A,"Osmar Terra, Roseana Sarney, Elcione Barbalho, José Priante, Eunício Oliveira, Alberto Mourão, Cobalchini, Cleber Verde, Renilce Nicodemos, Alceu Moreira, Pezenti, Célio Silveira, Hildo Rocha, Newton Cardoso Jr, Sergio Souza, Lucio Mosquini, Baleia Rossi, Márcio Biolchi, Emanuel Pinheiro Neto, Carlos Chiodini, Acácio Favacho, Isnaldo Bulhões Jr., Otoni de Paula, Gutemberg Reis, Juarez Costa, Olival Marques, Hercílio Coelho Diniz, Rafael Prudente, Helena Lima, Duda Ramos, Alexandre Guimarães, Marussa Boldrin, Augusto Pupio, Augusto Puppio, Rafael Brito, Thiago Flores, Simone Marquetto, Delegado Palumbo, Fábio Teruel, Yury do Paredão, Iza Arruda, Henderson Pinto, Dra. Alessandra Haber, Antônio Doido, Andreia Siqueira, Keniston Braga, Ricardo Maia, Ulisses Guimarães, Flavinha, Márcio Correa, Juliana Kolankiewicz, Luiz Fernando Vampiro","Baleia Rossi, Isnaldo Bulhões Jr."
37901,Partido Novo,NOVO,N/A,"Marcel van Hattem, Gilson Marques, Adriana Ventura, Ricardo Salles",Adriana Ventura
37907,Patriota,PATRIOTA,N/A,"Magda Mofatto, Wolmer Araújo, Fred Costa, Dr. Frederico, Marreca Filho, Pedro Aihara, Felipe Saliba",Nenhum líder encontrado
36779,Partido Comunista do Brasil,PCdoB,N/A,"Renildo Calheiros, Alice Portugal, Daniel Almeida, Jandira Feghali, Márcio Jerry, Orlando Silva, Daiana Santos",Márcio Jerry
36786,Partido Democrático Trabalhista,PDT,N/A,"Pompeo de Mattos, Mário Heringer, Leônidas Cristino, Leo Prates, André Figueiredo, Flávia Morais, Félix Mendonça Júnior, Afonso Motta, Mauro Benevides Filho, Robério Monteiro, Idilvan Alencar, Eduardo Bismarck, Dorinaldo Malafaia, Josenildo, Professora Goreth, Marcos Tavares, Max Lemos, Duda Salabert, Márcio Honaiser, Enfermeira Ana Paula, Délio Pinheiro, Lucyana Genésio","André Figueiredo, Afonso Motta"
37906,Partido Liberal,PL,N/A,"Alberto Fraga, Wellington Roberto, Bosco Costa, Jefferson Campos, Giacobo, Lincoln Portela, Eduardo Bolsonaro, Paulo Marinho Jr, Marcelo Moraes, João Carlos Bacelar, João Maia, Paulo Freire Costa, Vinicius Gurgel, Pr. Marco Feliciano, Eros Biondini, Pastor Eurico, Giovani Cherini, Domingos Sávio, Tiririca, Emidinho Madeira, Magda Mofatto, Capitão Augusto, Delegado Éder Mauro, Joaquim Passarinho, Altineu Côrtes, Soraya Santos, Sóstenes Cavalcante, Marcio Alvino, Miguel Lombardi, Marcelo Álvaro Antônio, Silvia Cristina, Ricardo Guidi, Eli Borges, Daniel Freitas, Caroline de Toni, Bia Kicis, Coronel Chrisóstomo, Bibo Nunes, Professor Alcides, Vermelho, Filipe Barros, Sanderson, André Ferreira, Fernando Rodolfo, Helio Lopes, Nelson Barbudo, Luiz Lima, Carlos Jordy, Chris Tonietto, José Medeiros, General Girão, Dr. Jaziel, Luiz Carlos Motta, Carla Zambelli, Zé Vitor, Junio Amaral, Rosana Valle, Luiz Philippe de Orleans e Bragança, Guilherme Derrite, Júnior Mano, Josimar Maranhãozinho, Pastor Gil, Capitão Alberto Neto, Junior Lourenço, Nikolas Ferreira, Jorge Goetten, Gilvan da Federal, Filipe Martins, Rodolfo Nogueira, Marcos Pollon, Tenente Coronel Zucco, Zucco, Daniela Reinehr, Zé Trovão, Julia Zanatta, Icaro de Valmir, Gustavo Gayer, Daniel Agrobom, Cabo Gilberto Silva, Sonize Barbosa, Silvia Waiãpi, Abilio Brunini, Coronel Fernanda, Amália Barros, General Pazuello, Roberto Monteiro, Roberto Monteiro Pai, Luciano Vieira, Delegado Ramagem, Rosângela Reis, Sargento Gonçalves, Robinson Faria, Mauricio do Vôlei, Samuel Viana, Ricardo Salles, Antonio Carlos Rodrigues, Delegado Paulo Bilynskyj, Mario Frias, André Fernandes, Yury do Paredão, Matheus Noronha, Coronel Meira, Delegado Caveira, Detinha, Capitão Alden, Roberta Roma, Adilson Barroso, Priscila Costa, Silvio Antonio, Luciano Galego, Henrique Júnior, Dr Flávio, Pedro Jr, Gláucia Santiago, Dra. Mayra Pinheiro, Tadeu Oliveira","Altineu Côrtes, Julia Zanatta, Coronel Meira, General Girão, Bibo Nunes, Coronel Fernanda, Caroline de Toni, Giovani Cherini, Chris Tonietto, Capitão Augusto, Coronel Chrisóstomo, Gustavo Gayer, Capitão Alden, Delegado Caveira, General Pazuello"
36896,Podemos,PODE,N/A,"Luiz Carlos Hauly, Leonardo Gadelha, Romero Rodrigues, Ruy Carneiro, Renata Abreu, Glaustin da Fokus, Igor Timo, Raimundo Costa, Dr. Gonçalo, Dr. Victor Linhalis, Gilson Daniel, Mauricio Marcon, Sargento Portugal, Nely Aquino, Bruno Ganem, Rodrigo Gambale, Fábio Macedo, Deltan Dallagnol, Mariana Carvalho, Duarte Gonçalves Jr, Daniel José","Renata Abreu, Romero Rodrigues"
37903,Progressistas,PP,N/A,"Julio Arcoverde, Fausto Pinato, Dilceu Sperafico, Ricardo Barros, Julio Lopes, Claudio Cajado, João Leão, Fernando Monteiro, Socorro Neri, Ana Paula Leão, Adriano do Baldy, Átila Lira, Afonso Hamm, Vicentinho Júnior, Eduardo da Fonte, João Maia, Lázaro Botelho, Marcelo Queiroz, Aguinaldo Ribeiro, Arthur Lira, Dimas Fabiano, Marx Beltrão, Mário Negromonte Jr., Evair Vieira de Melo, André Fufuca, Toninho Wandscheer, Covatti Filho, Dr. Luiz Ovando, Da Vitoria, Silvia Cristina, José Nelto, Pedro Lupion, Pedro Westphalen, Luiz Antonio Corrêa, Doutor Luizinho, Pinheirinho, AJ Albuquerque, Marco Brasil, Eliza Virgínia, Thiago de Joaldo, Daniel Barbosa, Delegado Fabio Costa, Mersinho Lucena, Gerlen Diniz, Zezinho Barbary, Bebeto, Delegado Bruno Lima, Mauricio Neves, Delegado da Cunha, Clarissa Tércio, Lula da Fonte, Tião Medeiros, Neto Carletto, Amanda Gentil, Coronel Telhada, Allan Garcês, Dr. Allan Garcês, Dr. Remy Soares, Júlio Oliveira, Capitão Samuel, Missionária Michele Collins",Doutor Luizinho
