ID do Deputado,Nome,E-mail,Data de Nascimento,Escolaridade,Cidade de Nascimento,Partido,UF,Situação,ID da Legislatura
178957,ABEL MESQUITA JR.,,1962-03-29,Superior Incompleto,Boa Vista,DEM,RR,Fim de Mandato,55
141463,ABELARDO CAMARINHA,,1952-03-22,Ensino Técnico,São José do Rio Pardo,PSB,SP,Fim de Mandato,54
73764,ABELARDO LUPION,,1952-08-25,Superior Incompleto,Curitiba,DEM,PR,Fim de Mandato,54
204554,Abílio Santana,,1965-02-13,Superior Incompleto,Salvador,PSC,BA,Fim de Mandato,56
204521,Abou Anni,,1966-11-06,Superior,São Paulo,UNIÃO,SP,Fim de Mandato,56
204379,Acácio Favacho,,1983-09-28,Superior,Macapá,MDB,AP,Exercício,57
131711,ACÁCIO JÚNIOR,,1983-04-13,Superior,,PSB,CE,Fim de Mandato,53
161907,ACELINO POPÓ,,1975-09-21,Superior Incompleto,Salvador,PRB,BA,Fim de Mandato,54
143254,ACÉLIO CASAGRANDE,,1961-12-01,Superior,,PMDB,SC,Suplência,53
178864,ADAIL CARNEIRO,,1963-07-11,Superior,Solonópole,PODE,CE,Fim de Mandato,55
178914,ADALBERTO CAVALCANTI,,1958-02-10,Superior,Juazeiro,AVANTE,PE,Fim de Mandato,55
73886,ADÃO PRETTO,,1945-12-18,Primário,Redentora,PT,RS,Vacância,53
74328,ADAUTO PEREIRA,,1935-06-04,Superior,Pombal,PFL,PB,Vacância,52
178890,ADELMO CARNEIRO LEÃO,,1949-05-25,Doutorado,Itapagipe,PT,MG,Fim de Mandato,55
74386,ADELOR VIEIRA,,1947-01-07,Superior,Blumenau,PMDB,SC,Fim de Mandato,52
178968,ADELSON BARRETO,,1964-09-22,Superior,Aracaju,PR,SE,Fim de Mandato,55
74524,ADELSON RIBEIRO,,1965-03-30,Superior,Aracaju,PSC,SE,Afastado,51
133374,ADEMIR CAMILO,,1964-05-30,Pós-Graduação,Teófilo Otoni,MDB,MG,Suplência,55
74645,ADEMIR LUCAS,,1943-09-29,Superior,Esmeraldas,PSDB,MG,Vacância,51
196359,ADÉRMIS MARINI,,1969-07-18,Superior,Franca,PSDB,SP,Suplência,55
178903,ADILTON SACHETTI,,1956-02-05,Superior,Nova Veneza,PRB,MT,Fim de Mandato,55
74450,ADOLFO MARINHO,,1944-10-10,Superior,Fortaleza,PSDB,CE,,51
204560,Adolfo Viana,,1981-02-02,Superior,Salvador,PSDB,BA,Exercício,57
160577,ADRIAN,,1967-03-11,Ensino Médio,Macaé,PMDB,RJ,Fim de Mandato,54
204528,Adriana Ventura,,1969-03-06,Doutorado,São Paulo,NOVO,SP,Exercício,57
121948,Adriano do Baldy,,1969-09-06,Superior Incompleto,Goiás,PP,GO,Exercício,57
73996,ADROALDO STRECK,,1935-04-13,Superior,Cachoeira do Sul,PSDB,RS,,51
74646,Aécio Neves,,1960-03-10,Superior,Belo Horizonte,PSDB,MG,Exercício,57
141372,Aelton Freitas,,1961-12-15,Superior,Iturama,PP,MG,Fim de Mandato,56
73765,AFFONSO CAMARGO,,1929-04-30,Superior,Curitiba,PSDB,PR,Fim de Mandato,53
160508,Afonso Florence,,1960-10-15,Mestrado,Salvador,PT,BA,Licença,57
136811,Afonso Hamm,,1962-04-25,Superior,Hulha Negra,PP,RS,Exercício,57
178835,Afonso Motta,,1950-01-08,Superior,Porto Alegre,PDT,RS,Exercício,57
74358,AGNALDO MUNIZ,,1970-08-31,Superior,Assis Chateaubriand,PSC,RO,Suplência,53
73654,AGNELO QUEIROZ,,1958-11-09,Superior,Itapetinga,PCdoB,DF,Fim de Mandato,52
160638,ÂNGELO AGNOLIN,,1954-09-18,Superior Incompleto,Palmeira das Missões,PDT,TO,Fim de Mandato,54
160527,Aguinaldo Ribeiro,,1969-02-13,Pós-Graduação,Campina Grande,PP,PB,Exercício,57
74340,AIRTON CASCAVEL,,1964-05-04,Superior Incompleto,Capanema,PPS,RR,Vacância,51
73888,AIRTON DIPP,,1950-10-15,Superior,Passo Fundo,PDT,RS,Exercício,51
204495,Airton Faleiro,,1959-03-16,Ensino Fundamental,Tenente Portela,PT,PA,Exercício,57
73457,AIRTON ROVEDA,,1948-02-14,Superior,Bituruna,PR,PR,Fim de Mandato,53
204549,AJ Albuquerque,,1983-09-26,Superior,Fortaleza,PP,CE,Exercício,57
173269,AKIRA OTSUBO,,1938-01-15,Superior,Mirandópolis,PMDB,MS,Fim de Mandato,54
178836,Alan Rick,,1976-10-23,Pós-Graduação,Rio Branco,UNIÃO,AC,Fim de Mandato,56
141373,ALBANO FRANCO,,1940-11-22,Superior,Aracaju,PSDB,SE,Fim de Mandato,53
74440,ALBÉRICO CORDEIRO,,1941-09-28,Superior,Pilar,PTB,AL,Vacância,51
74018,ALBÉRICO FILHO,,1950-04-10,Secundário,Goiana,PMDB,MA,Suplência,53
160582,ALBERTO FILHO,,1987-02-10,Superior,Bacabal,PP,MA,Fim de Mandato,55
73579,Alberto Fraga,,1956-06-02,Superior,Estância,PL,DF,Exercício,57
73427,ALBERTO GOLDMAN,,1937-10-12,Superior,São Paulo,PSDB,SP,Vacância,52
74696,Alberto Mourão,,1954-04-26,Superior,São Paulo,MDB,SP,Exercício,57
74310,ALBERTO SILVA,,1918-11-10,Superior,Parnaíba,PMDB,PI,Vacância,53
139133,ALCENI GUERRA,,1945-07-21,Superior,Soledade,DEM,PR,Fim de Mandato,53
73979,ALCESTE ALMEIDA,,1944-03-22,Superior,Manaus,PTB,RR,Fim de Mandato,52
73477,ALCEU COLLARES,,1927-09-12,Superior,Bagé,PDT,RS,Fim de Mandato,52
160559,Alceu Moreira,,1954-06-04,Superior Incompleto,Osório,MDB,RS,Exercício,57
204413,Alcides Rodrigues,,1950-10-08,Superior,Santa Helena de Goiás,PATRIOTA,GO,Fim de Mandato,56
74014,ALCIONE ATHAYDE,,1954-07-11,Superior,Campos dos Goytacazes,PSB,RJ,Afastado,51
74828,ALDIR CABRAL,,1948-03-12,Superior,Rio de Janeiro,PFL,RJ,Suplência,52
73662,ALDO ARANTES,,1938-12-20,Superior,Anápolis,PCdoB,GO,,51
73428,ALDO REBELO,,1956-02-23,Superior Incompleto,Viçosa,PCdoB,SP,Fim de Mandato,54
